Date,Interest Rate,Price,Dividend
01/05/2008,3.88,1653.5,33.67
01/06/2008,4.1,1564.71,33.49
01/07/2008,4.01,1459.15,33.37
01/08/2008,3.89,1493.12,33.56
01/09/2008,3.69,1419.91,33.66
01/01/2008,3.81,1141.91,33.82
01/11/2008,3.53,1061.15,34.3
01/12/2008,2.42,1065.59,34.47
01/01/2009,2.52,1046.48,33.87
01/02/2009,2.87,968.7,33.25
01/03/2009,2.82,908.63,32.71
01/04/2009,2.93,1015.33,31.97
01/05/2009,3.29,1077.17,31.21
01/06/2009,3.72,1096.06,30.29
01/07/2009,3.56,1109.3,29.67
01/08/2009,3.59,1194.23,28.93
01/09/2009,3.4,1234.64,28.25
01/01/2009,3.39,1260.74,27.64
01/11/2009,3.4,1283.93,27.03
01/12/2009,3.59,1312.57,26.49
01/01/2010,3.73,1323.65,26.2
01/02/2010,3.69,1282.78,25.99
01/03/2010,3.73,1351.3,25.69
01/04/2010,3.85,1401.97,25.7
01/05/2010,3.42,1316.34,25.73
01/06/2010,3.2,1268.79,25.81
01/07/2010,3.01,1264.35,25.93
01/08/2010,2.7,1271.35,26.01
01/09/2010,2.65,1311.28,26.12
01/01/2010,2.54,1367.43,26.23
01/11/2010,2.76,1398.71,26.37
01/12/2010,3.29,1445.97,26.47
01/01/2011,3.39,1486.75,26.62
01/02/2011,3.58,1523.86,26.76
01/03/2011,3.41,1490.15,26.76
01/04/2011,3.46,1511.28,26.94
01/05/2011,3.17,1511.89,27.15
01/06/2011,3,1455.81,27.53
01/07/2011,3,1497.35,27.82
01/08/2011,2.3,1335.61,28.06
01/09/2011,1.98,1320.73,28.33
01/01/2011,2.15,1361.04,28.86
01/11/2011,2.01,1383.86,29.35
01/12/2011,1.98,1406.4,29.9
01/01/2012,1.97,1464.72,30.11
01/02/2012,1.97,1516.51,30.32
01/03/2012,2.17,1545.97,30.44
01/04/2012,2.05,1538.2,30.7
01/05/2012,1.8,1489.84,31.1
01/06/2012,1.62,1472.24,31.5
01/07/2012,1.53,1515.09,32.03
01/08/2012,1.68,1555.09,32.32
01/09/2012,1.72,1592.28,32.64
01/01/2012,1.75,1586.72,33.26
01/11/2012,1.65,1546.25,34.04
01/12/2012,1.72,1581.31,34.74
01/01/2013,1.91,1641.06,34.96
01/02/2013,1.98,1662.82,34.99
01/03/2013,1.96,1700.72,35.21
01/04/2013,1.76,1724.31,35.67
01/05/2013,1.93,1797.01,36.04
01/06/2013,2.3,1769.67,36.37
01/07/2013,2.58,1823.52,36.77
01/08/2013,2.74,1822.87,37.14
01/09/2013,2.81,1839.37,37.5
01/01/2013,2.62,1880.03,37.82
01/11/2013,2.72,1953.44,38.11
01/12/2013,2.9,1980.16,38.33
01/01/2014,2.86,1988.73,38.64
01/02/2014,2.71,1975.62,38.94
01/03/2014,2.72,2013.19,39.14
01/04/2014,2.71,2007.38,39.42
01/05/2014,2.56,2027.76,39.7
01/06/2014,2.6,2085.38,40.03
01/07/2014,2.54,2114.07,40.45
01/08/2014,2.42,2105.19,40.91
01/09/2014,2.53,2137.6,41.28
01/01/2014,2.3,2082.82,41.72
01/11/2014,2.33,2210.11,42.29
01/12/2014,2.21,2233.26,42.88
01/01/2015,1.88,2215.32,43.58
01/02/2015,1.98,2264.49,43.89
01/03/2015,2.04,2248.71,44.12
01/04/2015,1.94,2260.19,44.37
01/05/2015,2.2,2267.06,44.47
01/06/2015,2.36,2245.61,44.65
01/07/2015,2.32,2239.96,44.92
01/08/2015,2.17,2185,45.26
01/09/2015,2.17,2086,45.61
01/01/2015,2.07,2173.23,45.94
01/11/2015,2.26,2237.85,46.35
01/12/2015,2.24,2216.88,46.83
01/01/2016,2.09,2067.25,46.93
01/02/2016,1.78,2050.28,47.06
01/03/2016,1.89,2167.48,47.04
01/04/2016,1.81,2214.43,47.02
01/05/2016,1.81,2194.89,47.04
01/06/2016,1.64,2207.13,47.09
01/07/2016,1.5,2279.67,47.37
01/08/2016,1.56,2300.95,47.53
01/09/2016,1.63,2281.41,47.61
01/01/2016,1.76,2263.08,47.79
01/11/2016,2.14,2289.84,48.1
01/12/2016,2.49,2375.41,48.32
01/01/2017,2.43,2391.6,48.28
01/02/2017,2.42,2441.51,48.36
01/03/2017,2.48,2478.18,48.56
01/04/2017,2.3,2463.01,48.71
01/05/2017,2.3,2498.5,48.96
01/06/2017,2.19,2536.5,49.21
01/07/2017,2.32,2559.22,49.57
01/08/2017,2.21,2553.79,49.75
01/09/2017,2.2,2578.21,49.82
01/01/2017,2.36,2646.24,50.11
01/11/2017,2.35,2684.06,50.37
01/12/2017,2.4,2758.88,50.67
01/01/2018,2.58,2873.14,50.76
01/02/2018,2.86,2773.39,50.9
01/03/2018,2.84,2764.69,51.15
01/04/2018,2.87,2703.68,51.28
01/05/2018,2.98,2741.04,51.4
01/06/2018,2.91,2790.23,51.65
01/07/2018,2.89,2829.84,52.11
01/08/2018,2.89,2893.24,52.53
01/09/2018,3,2934.06,52.93
01/01/2018,3.15,2811.75,53.31
01/11/2018,3.12,2758.17,53.96
01/12/2018,2.83,2608.58,54.61
01/01/2019,2.71,2644.26,54.91
01/02/2019,2.68,2782.06,55.08
01/03/2019,2.57,2815.78,55.17
